No,Product Name,Price (SGD)
0,"Megaman AR111, LED lamp, G53, 11W",68.432
1,"Megaman UFO LED, GX53, 5W",25.857999999999997
2,"Megaman PAR38 LED, LED Lamp, E27, 15W",45.626000000000005
3,"Megaman T LAMP LED, LED lamp, E14, 2W White",13.691999999999998
4,"Megaman LED lamp, GU10, 5.5W",18.255999999999997
5,"Megaman AR111, LED lamp, G53, 10W",91.25200000000001
6,"Megaman UFO LED, GX53, 5W",57.791999999999994
7,Megaman Reflector LED lamp (R50) E14 5W,15.203999999999999
8,"Megaman PAR16 LED DIM TO WARM, GU10, 6W",33.459999999999994
9,"Megaman CROWN GOLD CLASSIC A60 LED bowl mirror, E27, 5W Gold",53.228
10,"Megaman AR111, LED spotlight, G53, 16W",104.92999999999999
11,"Megaman AR111 LED, LED lamp, GU10, 12W",114.05799999999999
12,"Megaman CLASSIC A60 CFL, energy saving lamp, E27 11W",9.127999999999998
13,"Megaman UFO LED, 7W",41.062
14,"Megaman LED bulb, G9, 2W",16.729999999999997
15,"Megaman CLASSIC A45 CFL, energy saving lamp, E14, 4W",4.563999999999999
16,"Megaman LED bulb, G9, 3W",25.088
17,"Megaman GLOBE A98 LED globe lamp, E27 10W",41.062
18,"Megaman CLASSIC A60 LED, LED lamp, E27, 7W",15.203999999999999
19,"Megaman R63 LED Reflector, E27, 7W",22.805999999999997
20,"Megaman G9 LED, 4,3W",38.024
21,"Megaman CLASSIC A65 LED DIM TO WARM, LED lamp, E27, 10,5W",34.972
22,"Megaman PLUG IN TUBE CFL lamp, G23, 11W",1.526
23,Megaman LED bulb E27 (par30) 10W,31.933999999999997
24,"Megaman CLASSIC A45 LED, LED lamp, E14 3W",20.523999999999997
25,"Megaman INGENIUM, CFL tube, E27, 14W",7.601999999999999
26,"Megaman TUBULAR CFL bulb, E27, 20W",7.601999999999999
27,"Megaman R7S LED, 7W",38.024
28,"Megaman LED candle lamp, E14, 3W",15.203999999999999
29,"Megaman R7S LED, 9W",27.37
30,"Megaman PAR16 LED lamp, GU10, 6W",15.203999999999999
31,Megaman ME MM00697,36.498
32,"Megaman PAR16 LED, LED lamp, GU10, 7W",10.639999999999999
33,Megaman ME MM33112I,13.691999999999998
34,"Megaman MR11 LED lamp, GU4, 4W",25.088
35,"Megaman AR111 LED lamp, G53, 15W Grey",83.636
36,"Megaman CLASSIC A55 LED, LED lamp, E27, 3W",15.203999999999999
37,"Megaman MR16 LED GU5.3, 5W",7.601999999999999
38,"Megaman MR16 LED GU5.3, 4W",6.089999999999999
39,"Megaman LED lamp, GU10 (AR111) 12W",114.05799999999999
40,Megaman LED bulb E27 (par30) 12W,91.25200000000001
41,"Megaman MR16 LED GU5.3, 8W",45.626000000000005
42,"Megaman PAR16 LED, LED lamp, GU10, 4W",18.255999999999997
43,"Megaman R80 LED, LED lamp, E27, 7W",24.331999999999997
44,"Megaman LED candle E14, 3W",20.523999999999997
45,"Megaman Candle LED, E14, 5W",27.37
46,"Megaman CROWN SILVER CLASSIC A45, LED reflector lamp, E14",38.024
47,"Megaman GLOBE A98 LED, LED lamp, E27, 11W",42.588
48,"Megaman CLASSIC GOLD A75 LED, LED lamp, E27, 3W",24.331999999999997
49,Megaman ME MM60503,150.556
50,Megaman ME MM00357i,22.805999999999997
51,"Megaman CLUSTER LITE, LED Lamp, E27, 35W",167.28599999999997
52,"Megaman CLASSIC LED A55, E27, 7W",28.895999999999997
