No,Product Name,Price (SGD)
0,MEGAMAN LG2603.5v2-E14,4.90
1,MEGAMAN LG2603.5v2-E27,4.90
2,MEGAMAN LG2605.5-E14,5.90
3,MEGAMAN LG7105.5-E27,5.90
4,MEGAMAN LG8606-E27,5.90
5,MEGAMAN LG7208-E27,6.90
6,MEGAMAN LG9603CS-E14,7.60
7,MEGAMAN ER3405DG-WFL,7.90
8,MEGAMAN LC0403.5v2-E14,7.90
9,MEGAMAN LG7209.5-E27,7.90
10,MEGAMAN ER2405LN-FL,9.90
11,MEGAMAN ER3406DG-WFL,10.90
12,MEGAMAN LC1403CS-E14,10.90
13,MEGAMAN LG6104.8CS-E27,11.90
14,MEGAMAN LR4604.5DG-WFL,11.90
15,MEGAMAN LR6305LN-WFL,11.90
16,MEGAMAN F31217RC,12.50
17,MEGAMAN LG8207-E27,12.90
18,MEGAMAN LT0409.5-2FT T8 TUBE,12.90
19,MEGAMAN EU0401.8-G4,13.90
20,MEGAMAN LG5502.4-E14,13.90
21,MEGAMAN EU0102-G4,14.90
22,MEGAMAN LG7311-E27,14.90
23,MEGAMAN LU0702,14.90
24,MEGAMAN LG7414-E27,15.90
25,MEGAMAN LR4307-SWFL,15.90
26,MEGAMAN LD0208x1d-C350,16.70
27,MEGAMAN LC0403.5d-E14,16.90
28,MEGAMAN LG3111-E27,16.90
29,MEGAMAN LG7207d-E27,16.90
30,MEGAMAN LR4605.5dDG-WFL UDIM,17.90
31,MEGAMAN LT0518 - 4FT T8 TUBE,18.90
32,MEGAMAN LG2310.5d-E27,19.60
33,MEGAMAN F11914PD+IP44,19.90
34,MEGAMAN LED LR2906-WFL-E27-PAR20,19.90
35,MEGAMAN LG7310.5d-E27 DIM,19.90
36,MEGAMAN LR1506-35H-COOLWHITE,19.90
37,MEGAMAN LC0703CS-E14,20.90
38,MEGAMAN LC1503.2dCS-E14,21.90
39,MEGAMAN LG2604w-E14,21.90
40,MEGAMAN LR2205,21.90
41,MEGAMAN LC0404wCS-E14,22.90
42,MEGAMAN LR3010.5-WFL-E27-PAR30,23.90
43,MEGAMAN LJ0408-R7s,24.90
44,MEGAMAN LG7003dGD-E27 DIM,25.90
45,MEGAMAN LG9809dCS-E27,25.90
46,MEGAMAN LG4105.5CS-E27,26.90
47,MEGAMAN LG6703GD-E27,26.90
48,MEGAMAN LR3307,26.90
49,MEGAMAN LG2207d-E27,27.90
50,MEGAMAN LG6803GD-E27,27.90
51,MEGAMAN LG7813d-E27 DIM,27.90
52,MEGAMAN LG2509.5s-E27,28.90
53,MEGAMAN LG4003.5dCS-E14,28.90
54,MEGAMAN LR2008d_50H35D-COOLWHITE,29.00
55,MALCOLM Adjustable Recessed Downlight PAR16 (FULL SET WITH BULB),29.90
56,MEGAMAN ER3207-50H,29.90
57,MEGAMAN LC1106wCS-E14,29.90
58,MEGAMAN LG6903GD-E27,29.90
59,MEGAMAN LG6603dGD-E27,30.90
60,MEGAMAN ER2304-20H36D,32.90
61,MEGAMAN LG6303dGD-E27,32.90
62,MEGAMAN LR3215.5-WFL-PAR38,32.90
63,MEGAMAN LG6403dGD-E27,33.90
64,MEGAMAN LS0107d-Brass-E27,34.90
65,ZENIA Recessed Downlight F26100RC 7.5WATT 4INCH (2 Years ONSITE Warranty),34.90
66,MEGAMAN LG6503dGD-E27,35.90
67,MEGAMAN LR4204.5-35H24D,36.90
68,MEGAMAN LR5906dHR-75H35D-WARMWHITE,36.90
69,MEGAMAN LR5907dHR-75H35D-COOLWHITE,36.90
70,MEGAMAN F50500SM,37.00
71,MEGAMAN ER1708d-50H24D,39.90
72,MEGAMAN LT0523.5-4FT T8 TUBE,41.90
73,ZENIA Recessed Downlight F26200RC 12.5WATT 5INCH (2 Years ONSITE Warranty),42.90
74,MEGAMAN F50600SM,48.10
75,MEGAMAN LG2311dBT-E27,49.90
76,ZENIA Recessed Downlight F26400RC-D DIMMABLE 13WATT 3INCH (2 Years ONSITE Warranty),49.90
77,ZENIA Recessed Downlight F51400RC 12.5WATT 5INCH (2 Years ONSITE Warranty),49.90
78,ZENIA Recessed Downlight F54100RC 9.5WATT 5INCH (2 Years ONSITE Warranty),49.90
79,ZENIA Recessed Downlight F26300RC 20.5WATT 6INCH (2 Years ONSITE Warranty),54.90
80,ZENIA Recessed Downlight F26200RC-d 12.5WATT 5INCH DIMMABLE (2 Years ONSITE Warranty),59.90
81,MEGAMAN F50700SM,63.20
82,MEGAMAN ER2711d-50H24D,65.90
83,MEGAMAN ER2911d-50H45D,65.90
84,ZENIA Recessed Downlight F27100RCV1 20.5 WATT 8INCH (2 Years ONSITE Warranty),69.90
85,MEGAMAN F03500SP,75.00
86,ZENIA Recessed Downlight F27100RC 35.5 WATT 8INCH (2 Years ONSITE Warranty),79.90
87,MEGAMAN ER2912d-75H45D,83.90
88,MEGAMAN LR1815d-75H45D,88.30
89,MEGAMAN LR1615d-75H24D,88.90
90,MEGAMAN LH0127-E27,109.90
91,MEGAMAN LR1412d-75H30D-PAR30,119.90
92,MEGAMAN F27000PL,122.00
93,MEGAMAN LR0215d-100H24D-PAR30,129.90
94,MEGAMAN F51100SM,145.20
95,MEGAMAN F51300SM,145.20
96,MEGAMAN F50100SM,146.00
97,MEGAMAN LH0133-E27,146.90
98,MEGAMAN LH0135-E27,146.90
99,MEGAMAN LR0920-25M25D-PAR38,166.90
100,MEGAMAN MH0130 + LB2601,178.90
101,MEGAMAN F25600SM+IP54 2800k WARMWHITE,208.20
