No,Product Name,Price (SGD)
0,"ZENIA F26000RC-WH LED DOWNLIGHT 3"" 2800K WW",31.15
1,"ZENIA F26000RC-WH LED DOWNLIGHT 3"" 4000K CW",31.15
2,"ZENIA F26000RC-WH LED DOWNLIGHT 3"" 6500K DL",31.15
3,"ZENIA F26100RC-WH LED DOWNLIGHT 4"" 2800K WW",35.30
4,"ZENIA F26100RC-WH LED DOWNLIGHT 4"" 4000K CW",35.30
5,"ZENIA F26100RC-WH LED DOWNLIGHT 4"" 6500K DL",35.30
6,"ZENIA F26200RC-WH LED DOWNLIGHT 5"" 2800K WW",47.70
7,"ZENIA F26200RC-WH LED DOWNLIGHT 5"" 4000K CW",47.70
8,"ZENIA F26200RC-WH LED DOWNLIGHT 5"" 6500K DL",47.70
9,"ZENIA F26300RC-WH LED DOWNLIGHT 6"" 2800K WW",56.05
10,"ZENIA F26300RC-WH LED DOWNLIGHT 6"" 4000K CW",52.40
11,"ZENIA F26300RC-WH LED DOWNLIGHT 6"" 6500K DL",56.05
12,"ZENIA F26400RC-D-WH LED DIMMABLE DOWNLIGHT 3"" 2800K WW",48.80
13,"ZENIA F26400RC-D-WH LED DIMMABLE DOWNLIGHT 3"" 4000K CW",50.30
14,"ZENIA F27100RC-WH LED DOWNLIGHT 8"" 2800K WW",77.00
15,"ZENIA F27100RC-WH LED DOWNLIGHT 8"" 4000K CW",77.00
16,"ZENIA F27100RC-WH LED DOWNLIGHT 8"" 6500K DL",74.70
17,ZENIA F27000PL LED INTEGRATED FLOODLIGHT 19W 3000K WW,126.70
18,ZENIA F27000PL LED INTEGRATED FLOODLIGHT 19W 4000K CW,126.70
19,ZENIA F32114SP GARDEN SPIKE LIGHT IP54 BK,16.50
20,MEGAMAN LR3215.5-WFL LED PAR38 15.5W 2800K WW E27,50.40
21,MEGAMAN LR3215.5-WFL LED PAR38 15.5W 4000K CW E27,50.40
22,MEGAMAN LR2205 LED PLAM LITE 5W 6500K DL GX53,21.85
23,MEGAMAN ER2405LN-FL LED 5W 24D 2800K WW GU5.3,20.65
24,MEGAMAN LR2105DG-WFL LED PAR16 5W 35D 2800K WW GU10,13.50
25,ZENIA L0302RC-WH MAX MR16/PAR16 ADJUSTABLE RECESSED WHITE,10.60
26,MEGAMAN ER2607.5LN LED 7.5W 24D 2800K WW GU5.3,30.40
27,MEGAMAN LR2106DDG LED PAR16 6W 35D WW DIMMABLE 2800K GU10,18.70
28,ZENIA F11517TA-BK12 MOSAIC PAR16 TRACK LIGHT FIXTURE / BLACK,26.10
29,MEGAMAN LR1506-35H24D LED PAR16 6W 24D WW 2800K GU10,41.50
30,MEGAMAN LR1506-35H24D LED PAR16 6W 24D CW 4000K GU10,41.50
31,MEGAMAN LR2307DDG LED PAR16 DIMMABLE 7W 35D WW 2800K GU10,41.60
32,MEGAMAN LR2307DDG LED PAR16 DIMMABLE 7W 35D CW 4000K GU10,41.60
33,MEGAMAN LC0505DCSV2 LED CANDLE DIMMABLE 5W E14 2800K WW,29.10
34,MEGAMAN LC0803.5DCS CANDLE LED DIMMABLE 3.5W E14 2800K WW,29.10
35,MEGAMAN LT0523.5 LED T8 23.5 W G13 3000K WW,49.85
36,MEGAMAN LT0523.5 LED T8 23.5 W G13 4000K CW,49.85
37,MEGAMAN GSU423 CFL GLOBE 23W E27 2700K WW,8.55
38,MEGAMAN GSU423 CFL GLOBE 23W E27 6500K DL,8.55
39,MEGAMAN EX0205 LED STRIP LIGHTING 1M 3000K,31.15
40,MEGAMAN EX0205 LED STRIP LIGHTING 1M 4000K,31.15
41,MEGAMAN T4G24D110 PLUG IN TUBE 10W 2700K,3.70
42,MEGAMAN T4G24D110 PLUG IN TUBE 10W 4000K,3.70
43,MEGAMAN T4G24D110 PLUG IN TUBE 10W 6500K,3.70
44,MEGAMAN T4G24D113 PLUG IN TUBE 13W 2700K,4.10
45,MEGAMAN T4G24D113 PLUG IN TUBE 13W 4000K,4.10
46,MEGAMAN T4G24D113 PLUG IN TUBE 13W 6500K,4.10
47,MEGAMAN T4G24D118 PLUG IN TUBE 18W 2700K,4.40
48,MEGAMAN T4G24D118 PLUG IN TUBE 18W 4000K,4.40
49,MEGAMAN T4G24D118 PLUG IN TUBE 18W 6500K,4.40
50,MEGAMAN SP0611 SPIRAL 11W E27 2700K,6.20
51,MEGAMAN SP0611 SPIRAL 11W E27 6500K,6.20
52,MEGAMAN SP0614 SPIRAL 14W E27 2700K,6.20
