No,Product Name,Price (SGD)
0,Megaman Lg6303dgd E27 2200k LED Filament Classic 3w,SGD 34.30
1,Megaman Lr4407d Gu10 35d 4000k Led Par16 Bulb 7w,SGD 53.95
2,Megaman Lg6803gd E27 2200k LED Filament Globe95 3w,SGD 29.70
3,Megaman Lg3111 E27 6500k Led Globe Bulb 11w,SGD 18.00
4,Megaman Lg3111 E27 2800k Led Globe Bulb 11w,SGD 18.00
5,Megaman Sp0618 E27 6500k Cfl Spiral Bulb 18w,SGD 7.60
6,Megaman Sp0205 E14 2700k Cfl Spiral 5w,SGD 6.60
7,Megaman Sp0618 E27 4000k Cfl Spiral Bulb 18w,SGD 7.60
8,Megaman Sp0614 E27 4000k Spiral Bulb 14w,SGD 7.40
9,Megaman Sp0220 E27 2700k Cfl Spiral Bulb 20w,SGD 7.60
10,Megaman Sp0208-E27-2700k Spiral 8w,SGD 6.00
11,Megaman Sp0223 E27 6500k Cfl Spiral Bulb 23w,SGD 8.30
12,Megaman Lg7208-E27-4000k Led Classic-8w-E27-4000k-Cool White,SGD 8.00
13,Megaman Sp0618 E27 2700k Cfl Spiral Bulb 18w,SGD 7.60
14,Megaman Sp0614 E27 6500k Spiral Bulb 14w,SGD 7.40
15,Megaman Sp0614 E27 2700k Spiral Bulb 14w,SGD 7.40
16,Megaman E27 6500k Sp0611 Spiral 11w,SGD 6.60
17,Megaman E27 2700k Sp0611 Spiral 11w,SGD 6.60
18,Megaman Sp0214 E14 6500k Cfl Spiral 14w,SGD 7.40
19,Megaman Sp0208-E27-6500k Spiral 8w,SGD 6.60
20,Megaman Sp0208-E27-4000k Spiral 8w,SGD 6.60
21,Megaman Sp0205-E27-6500k Spiral 5w,SGD 6.00
22,Megaman Sp0205-E27-4000k Spiral 5w,SGD 6.00
23,Megaman Sp0205-E27-2700k Spiral 5w,SGD 6.00
24,Megaman Sp0208-E14-6500k Spiral 8w (Day light),SGD 6.00
25,Megaman Sp0205 E14 6500k Cfl Spiral 5w,SGD 6.60
26,Megaman Sp0208-E14-2700k Spiral 8w (Warm White),SGD 6.00
