No,Product Name,Price (SGD)
0,MEGAMAN® PALMLITE Surface Mount Light Fitting  (LED Bulbs sold separately) Megaman®,9.10
1,Surface Mount Light Fitting  (LED Bulbs sold separately) Megaman®,15.60
2,LED Round Ceiling Lamp (10.5W) Megaman®,39.00
3,LED Round Ceiling Lamp (14.5W) Megaman®,48.00
4,LED Round Ceiling Lamp (31.5W) Megaman®,79.00
5,LED Round Downlights (5W/7W) Megaman® THREECUBES Singapore Exclusive,13.90
6,LED Round Downlights (8W) Megaman® THREECUBES Singapore Exclusive,15.90
7,Round Recessed Fixed and Wall Wash Pin-Hold Downlight Megaman® Holder (GU10/PAR16),18.40
8,Round Recessed Fixed and Wall Wash Pin-Hold Downlight Megaman® Holder (GU10/PAR16),18.40
9,LED Round Downlights (12W) Megaman® THREECUBES Singapore Exclusive,18.90
10,LED Round Downlights (4W) Megaman®,18.90
11,LED Round Ceiling Lamp (18.5W) Megaman®,65.00
12,LED MEGAMAN® INGENIUM® BLU SMART LIGHTING,49.90
13,Track Lights (Non Asian) Fitting (8W LED) Megaman®,28.00
14,LED Round Downlights (12.5W) Megaman®,39.90
15,LED Square Downlights (12.5W) Megaman®,40.90
16,Round Recessed Adjustable Downlight Megaman® Holder (GU10),18.90
17,LED Round Downlights (7.5W) Megaman®,29.90
18,Track Lights Fitting (LED Bulbs and track sold separately) Megaman ®,18.00
19,LED Round Downlights (13W dimmable) Megaman®,59.90
20,Track Lights Fitting  (LED Bulbs and track sold separately) Megaman ®,22.00
21,LED Bulb Classic-A60,6.80
22,LED Bulb Classic-A65(Dimmable),19.60
23,Outdoor Wall Light,68.00
24,LED Bulb Mini Capsule (Liliput),12.00
25,Outdoor Bunker Wall Light,53.90
26,Surface Mount Light Fitting  (LED Bulbs sold separately) Megaman®,24.00
27,Dimmer Switch A,38.99
28,LED Bulb Globe-E27,16.80
29,LED Colour Bulbs (Outdoor Suitable),9.80
30,LED Filament Lamp (A60),24.99
31,LED Filament Lamp (A60) non dimming,13.40
32,LED Filament Lamp (Candle with tail),10.70
33,LED Filament Lamp (Candle),10.70
34,LED Filament Lamp (Classic A60 Dimmable),25.40
35,LED Filament Lamp (Crown Brass),45.99
36,LED Filament Lamp (P45),11.20
37,LED recessed Adjustable Spotlight Double Downlights (GU10/MR16),45.00
38,Night Light LED,7.50
39,Outdoor Garden Spike Light,35.00
40,Dimmer Switch B,25.00
41,Pendant Lamp (GRACE by Frandsen Design),439.00
42,Tracks  (for NON ASIAN track lightings),54.00
43,LED Filament Lamp (G125),29.80
44,LED Filament Lamp (G95),27.80
45,LED Filament Lamp (ST58),22.90
46,Outdoor BulkHead Ceiling/Wall Light (Oval),138.00
47,Outdoor BulkHead Ceiling/Wall Light (Round),138.00
48,Table Lamp (MARKSLÖJD-ETUI original),349.00
49,Track Lights Fitting (LED Bulbs and track sold separately) E27,18.00
50,Wall Lamp (MARKSLÖJD-MULTI original),209.00
51,Track Lights Fitting  (LED Bulbs and track sold separately) Laniber ®,28.00
52,Tracks  (for Asian track lightings),2.50
